FieldValueId,FieldId,Name,Text,IsActive,Position
,2147,801 BR PCH,,true,
,2147,LEMON YELLOW,,true,
,2147,GYPSY RED,,true,
,2147,SAIL RED,,true,
,2147,454 NT TID,,true,
,2147,455 OCEAN,,true,
,2147,MIRAGE BLUE,,true,
,2147,WHITECAP BLUE,,true,
,2147,GULFSTREAM BLUE,,true,
,2147,398-FELDSP,,true,
,2147,SAGE GREEN,,true,
,2147,FOSSIL BEIGE,,true,
,2147,WHITE,,true,
,2147,BLACK,,true,
,2148,PEPPERSTONE,,true,
,2148,PEPPER PRE-WASH,,true,
,2148,TARMAC BROWN,,true,
,2148,DOUBLE BLACK,,true,
,2147,SAIL BLUE,,true,
,2147,797 NEON L,,true,
,2147,KING CRAB PINK,,true,
,2147,452 NT TID,,true,
,2147,453 OCEAN,,true,
,2147,436 BEACON,,true,
,2147,904 MARINR,,true,
,2147,GULFSTREAM GREEN,,true,
,2147,398 FELDSP,,true,
,2147,SAGE,,true,
,2147,026-LT MTL,,true,
,2148,DARK WASH,,true,
,2148,MEDITERRANEAN BLUE,,true,
,2148,MID DENIM,,true,
,2148,KHAKI,,true,
,2148,BROWN,,true,
,2149,MALLARD BLUE,,true,
,2149,RED,,true,
,2149,COBALT BLUE,,true,
,2149,NAVY BLUE,,true,
,2149,DARK BROWN,,true,
,2149,STONE BEIGE,,true,
,2149,WHITE,,true,
,2149,BLACK,,true,
,2148,TAHOE BLUE,,true,
,2148,NIAGRA FALLS BLUE,,true,
,2148,STONE BLEACH BLUE,,true,
,2148,AIRLINE BLUE,,true,
,2148,WEATHERED STEEL BLUE,,true,
,2148,GREYED INDIGO,,true,
,2148,SEA PORT BLUE,,true,
,2149,MEDIUM CHAMBRAY DENIM,,true,
,2149,LIGHT CHAMBRAY DENIM,,true,
,2149,SUGAR CORAL,,true,
,2149,KHAKI,,true,
,2149,AZALEA PINK,,true,
,2149,FUCHSIA,,true,
,2149,POPPY RED,,true,
,2149,BLUE RADIANCE,,true,
,2149,PEACOAT BLUE,,true,
,2149,METHYL BLUE,,true,
,2149,BRIGHT LIME GREEN,,true,
,2149,OATMEAL,,true,
,2147,360 FIREFL,,true,
,2150,GUNMETAL GREY,,true,
,2147,SUNSET ORANGE,,true,
,2147,RED,,true,
,2147,LIGHT BLUE,,true,
,2147,DRESDEN BLUE,,true,
,2147,NAVY,,true,
,2147,BLUE,,true,
,2147,FEDERAL BLUE,,true,
,2147,CAPRI BLUE,,true,
,2147,BUTTERFLY GREEN,,true,
,2147,CREAM,,true,
,2147,CHARCOAL GREY,,true,
,2149,COLUMBIA NAVY,,true,
,2149,SAGE,,true,
,2149,STONE,,true,
,2150,BLACK/BROWN,,true,
,2150,BLACK/BLUE,,true,
,2147,FIREFLY MULTI,,true,
,2147,450-WHTCAP,,true,
,2147,BEIGE,,true,
,2150,GUNMETAL SILVER,,true,
,2148,LEVEE BLUE,,true,
,2148,NIGHTSHADE BLUE,,true,
,2148,VINT STONE BLUE,,true,
,2148,TRUCKIN BLUE,,true,
,2148,SANDED BRO BLUE,,true,
,2148,FADED LITE BLUE,,true,
,2147,YELLOW,,true,
,2147,PLACID BLUE,,true,
,2150,BLACK,,true,
,2150,BROWN,,true,
,2150,GREY,,true,
,2149,BURNT HENNA,,true,
,2149,GREEN,,true,
,2149,OXIDE BLUE,,true,
,2149,AEGEAN BLUE,,true,
,2149,BLUE,,true,
,2149,BEIGE,,true,
,2149,ROSE SHADOW PINK,,true,
,2149,CREAM KHAKI,,true,
,2149,LIPSTICK RED,,true,
,2149,ARUBA BLUE,,true,
,2149,MEDIEVAL BLUE,,true,
,2149,DRESDEN BLUE,,true,
,2149,NEWSBOY SAGE GREEN,,true,
,2149,SHADOW LIME GREEN,,true,
,2149,CERAMIC GREEN,,true,
,2149,SEAL BROWN,,true,
,2148,BRAZIL BLUE,,true,
,2148,NILE BLUE,,true,
,2148,DEEP BLUE,,true,
,2148,LIGHT BLUE,,true,
,2148,LIGHT STONE BLUE,,true,
,2147,GOLDEN HAZE YELLOW,,true,
,2147,FEATHER BEIGE,,true,
,2147,DRESSY WHITE,,true,
,2149,SMOKED GRAY,,true,
,2149,TURTLE BAY LIGHT DENIM,,true,
,2149,WHIPPED CREAM WHITE,,true,
,2149,CADET BLUE,,true,
,2149,CLOVER GREEN,,true,
,2149,CARAMEL BEIGE,,true,
,2147,BLUE LAKE,,true,
,2147,GREY BLUE,,true,
,2147,AQUA PORPOISE,,true,
,2147,OLIVE LIMON GREEN,,true,
,2147,TAUPE BRINDLE BEIGE,,true,
,2147,KHAKI SILVER BEIGE,,true,
,2149,RUBY RED,,true,
,2149,SAND BEIGE,,true,
,2149,FOG GRAY,,true,
,2150,BLACK/ORANGE/YELLOW,,true,
,2150,BLACK/NAVY,,true,
,2150,WHITE,,true,
,2150,MULTI,,true,
,2150,SMOKE GREY,,true,
,2150,BLUE,,true,
,2150,RED,,true,
,2150,ORANGE,,true,
,2150,SMOKE GREY/BLACK,,true,
,2149,SUNNYSIDE YELLOW,,true,
,2149,HEIRLOOM KHAKI,,true,
,2149,WATERMELON PINK,,true,
,2149,CAROUSEL BLUE,,true,
,2150,SILVERTONE/BLUE,,true,
,2150,SILVERTONE,,true,
,2150,NAVY BLUE,,true,
,2150,NAVY,,true,
,2150,GOLDTONE,,true,
,2150,GUNMETAL/GREY,,true,
,2149,DARK DENIM,,true,
,2149,CORN SILK YELLOW,,true,
,2149,GARNET RED,,true,
,2149,SAHARA BEIGE,,true,
,2149,FEATHER BEIGE,,true,
,2149,PAPER WHITE,,true,
,2148,LIGHT FADE BLUE,,true,
,2148,RUTHLESS BLUE,,true,
,2148,LIGHTVIBE BLUE,,true,
,2149,SOUTH PACIFIC,,true,
,2149,HEIRLOOM DENIM,,true,
,2147,KHAKI ALUMINUM,,true,
,2147,BLUE FIJI,,true,
,2149,SAND,,true,
,2149,NORTHERN LIGHTS,,true,
,2149,HAMPTON DENIM,,true,
,2149,HEIRLOOM BEIGE,,true,
,2149,FRESH BASIL GREEN,,true,
,2149,WOODSTOCK MEDIUM DENIM,,true,
,2149,ACAPULCO DENIM,,true,
,2149,SWEET LAVENDER,,true,
,2149,PINKBERRY,,true,
,2149,GRAHM CRACKER,,true,
,2149,MALTA BLUE WASH,,true,
,2149,WHITE WASH,,true,
,2149,CANTELOPE ORANGE,,true,
,2149,BLUE BELL,,true,
,2149,DEEP MARINE BLUE,,true,
,2149,CORK BEIGE,,true,
,2149,STAR WHITE,,true,
,2149,WILD ROSE PINK,,true,
,2149,ORCHID PURPLE,,true,
,2149,CHIVE GREEN,,true,
,2149,ACORN BROWN,,true,
,2149,DENIM RINSE,,true,
,2149,DAFFODIL YELLOW,,true,
,2149,WHITE/BLUE,,true,
,2149,HONEY ALMOND BEIGE,,true,
,2149,SMOKED PEARL,,true,
,2149,SHARK GRAY,,true,
,2149,DOVE WING GRAY,,true,
,2147,NAVY BLUE,,true,
,2147,MARINE BLUE,,true,
,2147,BLACK MULTI,,true,
,2147,OLIVE GREEN,,true,
,2147,TAUPE MULTI,,true,
,2147,WHISPER BLUE,,true,
,2147,APRICOT ORANGE,,true,
,2147,PRUSSIAN BLUE,,true,
,2147,MOON BEIGE,,true,
,2147,WHISPER GREEN,,true,
,2147,COCONUT BEIGE,,true,
,2151,BORD CORL,,true,
,2151,DYNO PINK,,true,
,2151,FESTIVE TEAL,,true,
,2151,BLACK,,true,
,2151,YELLOW,,true,
,2151,BRIGHT BLUE,,true,
,2151,WHITE,,true,
,2151,PINK BOOM,,true,
,2151,GREEN,,true,
,2151,ORANGE,,true,
,2151,BLUE RADIANCE,,true,
,2151,CORAL,,true,
,2151,YELOW,,true,
,2151,PLAY PINK,,true,
,2151,FESTIVE TEA GREEN,,true,
,2151,SHADOW GREY,,true,
,2149,MEDIUM DENIM,,true,
,2149,UNIVERSAL LIGHT DENIM,,true,
,2149,WHITE DENIM,,true,
,2149,NILE,,true,
,2149,SAFARI BEIGE,,true,
,2149,RAILROAD BLACK,,true,
,2149,SKY DENIM,,true,
,2149,WHITE REFLECT,,true,
,2149,BLACK INK,,true,
,2149,ARIES BLUE,,true,
,2149,PALE BROWN,,true,
,2149,OPTIC WHITE,,true,
,2147,ISLAND RED,,true,
,2147,LOST SKY BLUE,,true,
,2147,BLUE MESA,,true,
,2147,AQUA GROTTO GREEN,,true,
,2147,KHAKI TAUPE,,true,
,2147,KHAKI CORNSTALK,,true,
,2147,BLUE BAHAMA,,true,
,2147,GREEN TEA,,true,
,2147,CREAM EGRET,,true,
,2147,BLUE INLET,,true,
,2147,OLIVE LICHEN GREEN,,true,
,2147,TAUPE SQUIRREL,,true,
,2147,KHAKI CORN,,true,
,2147,BRIGHT WHITE,,true,
,2147,AQUA PORPOISE BLUE,,true,
,2147,BLUE BRIGHT,,true,
,2149,PHEONIX,,true,
,2149,KOKOMO DENIM,,true,
,2149,PINK BERRY,,true,
,2151,PINK,,true,
,2151,HYBRID GREEN,,true,
,2149,BRIGHT CORAL,,true,
,2149,INDIAN TEAL,,true,
,2149,HURRICANE GRAY,,true,
,2149,BERRY PINK,,true,
,2151,RED,,true,
,2151,MAGENTA,,true,
,2151,ROYAL BLUE,,true,
,2151,TAUPE,,true,
,2147,BLUE/WHITE MULTI,,true,
,2147,BEACON GREY MULTI,,true,
,2147,RED MULTI,,true,
,2147,WHITE/BLUE/GREEN,,true,
,2151,TURQUOISE,,true,
,2150,SILVER,,true,
,2147,TEAL,,true,
,2147,DEEP TEAL,,true,
,2147,NATURAL,,true,
,2147,AQUA BLUE,,true,
,2147,IRON GREY,,true,
,2147,NUTMEG BROWN,,true,
,2149,PALM GREEN,,true,
,2151,CLEAR YELLOW,,true,
,2151,SEXY PINK,,true,
,2151,FLIRT LIME GREEN,,true,
,2151,RECY METAL,,true,
,2147,NAVY STITCH,,true,
,2147,CORAL,,true,
,2147,LIGHT BANANA YELLOW,,true,
,2147,OCEAN BLUE,,true,
,2147,AMERICAN DREAM BLUE,,true,
,2151,RASPBERRY PINK,,true,
,2147,CALM POOL BLUE,,true,
,2147,SEA CREST GREEN,,true,
,2147,LIGHT BUTTERCUP YELLOW,,true,
,2149,NEUTRAL GRAY,,true,
,2149,OLIVE BRANCH GREEN,,true,
,2149,SANDALWOOD TAN,,true,
,2149,STONE BLUE,,true,
,2149,TURQUOISE TWIST,,true,
,2149,CHERRY RED,,true,
,2149,MEADOW GREEN,,true,
,2151,JADE/WHITE,,true,
,2149,ORANGE,,true,
,2149,CANARY YELLOW,,true,
,2149,FUCHSIA ROSE PINK,,true,
,2149,LILY PAD,,true,
,2151,BLUE,,true,
,2149,FUCHSIA ROSE,,true,
,2149,BLUEBERRY JAM,,true,
,2149,WHIPPED CREAM,,true,
,2147,COAL BLACK,,true,
,2149,PAPAYA MULTI,,true,
,2149,RED/BLUE PLAID,,true,
,2147,BLUE JAY,,true,
,2147,AMAZON GREEN,,true,
,2147,FIREFLY GREEN,,true,
,2147,MARINER BLUE,,true,
,2147,MARMALADE YELLOW,,true,
,2147,VIVID BLUE,,true,
,2147,BLACK SEA,,true,
,2149,BLUE MULTI,,true,
,2151,COBALT BLUE,,true,
,2151,SILVER GREY MULTI,,true,
,2149,SHELL CORAL,,true,
,2149,MINERAL RED,,true,
,2149,BLUEBIRD,,true,
,2149,BLACK ADDER,,true,
,2147,GREEN,,true,
,2147,CORAL CREST ORANGE,,true,
,2147,PURPLE,,true,
,2147,MOON LAGOON BLUE,,true,
,2147,CADET BLUE,,true,
,2149,PEACOAT NAVY,,true,
,2149,OATMEAL BEIGE,,true,
,2149,PINK/WHITE,,true,
,2149,KHAKI BEIGE,,true,
,2149,CORNFLOWER BLUE,,true,
,2151,MULTI,,true,
,2149,MADDER BROWN,,true,
,2149,GRILL GRAY,,true,
,2149,LIGHT DENIM,,true,
,2149,WHPPED CREAM WHITE,,true,
,2149,MEDIUM WASH,,true,
,2149,BERRY JAM PINK,,true,
,2149,CHAMBRAY BLUE,,true,
,2149,YELLOW,,true,
,2149,COSMIC BLUE,,true,
,2147,PINK,,true,
,2147,LIGHT PURPLE,,true,
,2147,LILAC,,true,
,2147,GREY,,true,
,2149,GEYSER GREEN,,true,
,2149,BERRY JAM PURPLE,,true,
,2149,BROWN MULTI,,true,
,2151,NAVY,,true,
,2151,BLUE MULTI,,true,
,2148,WASHED SKY BLUE,,true,
,2147,BLUE MULTI,,true,
,2147,AUTUMN ORANGE,,true,
,2147,BLUEJAY,,true,
,2147,MAJOR BROWN,,true,
,2148,INTENSE BLUE,,true,
,2149,CHERRY MULTI,,true,
,2147,WINTER WHITE MULTI,,true,
,2147,BLUEBELL MULTI,,true,
,2147,BLACKHAWK BROWN,,true,
,2147,SONGBIRD BLUE MULTI,,true,
,2147,CREPE YELLOW,,true,
,2147,SONGBIRD BLUE/GREEN,,true,
,2147,SEAGLASS GREEN MULTI,,true,
,2147,CRAB ORANGE,,true,
,2147,CHESAPEAKE BLUE,,true,
,2149,PINK BIKINI,,true,
,2149,BORA BORA BLUE,,true,
,2149,LIME GREEN,,true,
,2151,TANDORI RED,,true,
,2151,DAZZLING BLUE,,true,
,2147,SAGE GREEN MULTI,,true,
,2149,TEAL,,true,
,2147,FADED NAVY BLUE,,true,
,2148,CHROMIUM BLUE,,true,
,2148,DARK COBALT BLUE,,true,
,2149,DARK KHAKI,,true,
,2149,ORANGE MULTI,,true,
,2149,COCOA BROWN,,true,
,2149,PINK,,true,
,2149,LIGHT YELLOW,,true,
,2149,LIGHT BLUE,,true,
,2149,SAILOR NAVY,,true,
,2147,KHAKI PLAID,,true,
,2147,NAVY MULTI,,true,
,2147,NAVY BLUE MULTI,,true,
,2149,GRAY,,true,
,2147,ROYAL BLUE,,true,
,2147,NATURAL BEIGE MULTI,,true,
,2147,GREEN MULTI,,true,
,2147,BLUE/BEIGE,,true,
,2147,BROWN MULTI,,true,
,2149,NAVY,,true,
,2147,PINK DOGWOOD,,true,
,2147,LILY GREEN,,true,
,2147,LILY GREEN MULTI,,true,
,2147,BRIGHT WHITE MULTI,,true,
,2147,CASHMERE BLUE,,true,
,2147,EGRET WHITE,,true,
,2147,CORDOVAN RED,,true,
,2150,GUNMETAL,,true,
,2150,GOLD,,true,
,2149,BEIGE/WHITE,,true,
,2149,BLUE/WHITE,,true,
,2149,TEAL/WHITE,,true,
,2149,BLACK/WHITE,,true,
,2149,SANDY BROWN,,true,
,2149,SANDALWOOD BEIGE,,true,
,2149,SANGRIA RED,,true,
,2151,WATERMELON PINK,,true,
,2151,RED MULTI,,true,
,2149,BROWN,,true,
,2151,BROWN/SAND,,true,
,2151,PEACH,,true,
,2151,WHITE MULTI,,true,
,2151,GOLD,,true,
,2149,BLUESPELL,,true,
,2149,EMERALD ISLAND GREEN,,true,
,2149,WHTIE,,true,
,2149,THUNDER CLOUD GRAY,,true,
,2149,RED MULTI,,true,
,2151,LIME GREEN MULTI,,true,
,2151,GREY,,true,
,2151,BLACK MULTI,,true,
,2149,DARK PINK,,true,
,2151,SHELL PINK,,true,
,2149,CORAL,,true,
,2149,OASIS BLUE,,true,
,2151,MORNING FOG GREY,,true,
,2149,CHALK WHITE,,true,
,2149,FUSCHIA,,true,
,2151,ORANGE MULTI,,true,
,2151,LEMONADE YELLOW,,true,
,2147,ATLANTIS BLUE,,true,
,2149,MEDIIUM DENIM,,true,
,2149,DARK WASH,,true,
,2149,STORM GREEN,,true,
,2151,NEON LIME GREEN,,true,
,2151,TANDORI BLUE,,true,
,2149,LIGHT WASH,,true,
,2149,LILAC,,true,
,2149,SEA BLUE,,true,
,2149,PALE GRAY,,true,
,2151,TEAL/CORAL,,true,
,2149,SHAMROCK GREEN,,true,
,2149,CREAMSICLE ORANGE,,true,
,2149,WATERFALL BLUE,,true,
,2151,BROWN MULTI,,true,
,2151,GREEN MULTI,,true,
,2149,RED CORAL,,true,
,2149,BEIGE CAMO,,true,
,2149,DENIM,,true,
,2147,MAGNOLIA BEIGE MULTI,,true,
,2147,BREEZE BLUE,,true,
,2147,ASPHALT GREY MULTI,,true,
,2151,GEORGIA PEACH PINK,,true,
,2151,CREAM,,true,
,2149,HOT PINK,,true,
,2151,BRIGHT YELLOW,,true,
,2149,GREEN MULTI,,true,
,2152,Sm,,true,
,2152,Md,,true,
,2152,Lg,,true,
,2152,X-Lg,,true,
,2152,XX-Lg,,true,
,2153,28W 30L,,true,
,2153,28W 32L,,true,
,2153,29W 30L,,true,
,2153,29W 32L,,true,
,2153,29W 34L,,true,
,2153,30W 29L,,true,
,2153,30W 30L,,true,
,2153,30W 32L,,true,
,2153,30W 34L,,true,
,2153,31W 29L,,true,
,2153,31W 30L,,true,
,2153,31W 34L,,true,
,2153,32W 29L,,true,
,2153,32W 30L,,true,
,2153,32W 31L,,true,
,2153,32W 32L,,true,
,2153,32W 34L,,true,
,2153,32W 36L,,true,
,2153,33W 29L,,true,
,2153,33W 30L,,true,
,2153,33W 31L,,true,
,2153,33W 32L,,true,
,2153,33W 36L,,true,
,2153,34W 29L,,true,
,2153,34W 30L,,true,
,2153,34W 31L,,true,
,2153,34W 32L,,true,
,2153,34W 36L,,true,
,2153,35W 30L,,true,
,2153,35W 34L,,true,
,2153,36W 29L,,true,
,2153,36W 30L,,true,
,2153,36W 32L,,true,
,2153,36W 34L,,true,
,2153,36W 36L,,true,
,2153,38W,,true,
,2153,38W 29L,,true,
,2153,38W 30L,,true,
,2153,38W 31L,,true,
,2153,38W 32L,,true,
,2153,38W 34L,,true,
,2153,38W 36L,,true,
,2153,40W 29L,,true,
,2153,40W 30L,,true,
,2153,40W 32L,,true,
,2153,40W 34L,,true,
,2153,42W 29L,,true,
,2153,42W 30L,,true,
,2153,42W 32L,,true,
,2153,42W 34L,,true,
,2153,31W 32L,,true,
,2153,33W 34L,,true,
,2153,34W 34L,,true,
,2154,8,,true,
,2154,10,,true,
,2154,12,,true,
,2154,14,,true,
,2154,16,,true,
,2154,18,,true,
,2154,Small,,true,
,2154,Medium,,true,
,2154,Large,,true,
,2154,X Large,,true,
,2155,No Sz,,true,
,2154,6,,true,
,2154,4,,true,
,2156,Sm,,true,
,2156,Md,,true,
,2156,Lg,,true,
,2156,X-Lg,,true,
,2156,X-Sm,,true,
,2154,25,,true,
,2154,26,,true,
,2154,27,,true,
,2154,28,,true,
,2154,29,,true,
,2154,30,,true,
,2154,32,,true,
